num,a_le,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24
65,1,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,10,10,10,0,0,10,5,10,10,10,8,0,0,11,10,0,10,10,0,10,10,0,10,11,0,10,11,0,10,0,0,10,10,10,11,0,10,10,11,0,9,10,0,8,9,0,0,11,0,9,10,11,9,0
66,2,0,0,5,0,0,0,5,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,8,0,8,4,0,8,5,0,8,0,0,0,0,0,8,0,8,0,4,0,6,6,0,0,0,0,0,12,0,0,0,0,0,0,15,0,15,0,15,0,0,15,0,0,0,15,0,0,15
67,3,10,10,10,20,20,20,0,0,0,20,20,0,20,10,10,20,0,0,0,20,10,10,10,10,10,10,10,10,12,10,15,10,10,10,10,12,10,10,10,10,10,10,10,0,0,10,0,10,15,16,17,18,19,19,19,18,18,18,18,20,20,18,18,18,18,18,18,18,20,20,20,18
68,2,4,0,3,5,10,4,2,8,4,0,0,0,7,3,0,0,14,0,9,12,3,0,10,7,0,2,1,14,6,8,2,14,2,1,0,13,10,0,0,15,0,0,0,14,0,0,0,14,1,0,10,9,10,0,4,10,10,0,0,8,0,0,0,10,0,0,0,12,0,0,0,10
69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0
70,3,0,0,0,8,10,0,0,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,6,8,0,0,0,8,10,0,0,0,8,0,0,0,0,0,0,8,0,0,0,10,0,0,0,7,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
71,,0,0,0,0,0,0,7,0,0,0,0,10,0,0,9,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,14,16,17,13,0
72,,0,10,10,15,10,10,0,15,15,0,0,0,15,0,0,0,15,0,15,0,10,10,0,15,0,0,11,0,0,10,0,0,10,0,10,0,0,0,5,0,10,0,10,0,0,0,0,0,10,10,0,0,15,0,0,0,0,0,0,0,15,0,0,15,0,0,15,0,0,15,20,0
73,,0,0,13,13,0,0,11,11,0,12,11,0,0,11,13,0,9,8,0,10,8,0,8,11,0,14,14,0,0,0,14,0,0,0,14,0,0,14,12,0,13,0,0,0,12,0,13,12,15,0,0,15,0,0,14,15,0,0,0,13,0,0,13,0,0,14,0,14,0,0,0,14
74,,5,1,0,3,0,5,10,10,0,10,0,9,9,0,10,9,0,0,10,0,0,10,0,0,0,0,10,0,13,10,10,0,0,0,10,0,0,0,13,0,0,0,10,0,14,12,0,0,0,0,12,0,9,9,8,15,0,0,0,10,10,0,9,0,0,0,8,14,0,12,0,0
